Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,alpha_annualized_market_benchmark,alpha_annualized_asset_benchmark,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,win_rate,max_win_streak,max_loss_streak,average_gain,average_loss,profit_factor,exposure,trade_count,turnover,VaR_95,CVaR_95,average_holding_days,longest_holding_days,longest_holding_start,longest_holding_end,shortest_holding_days,shortest_holding_start,shortest_holding_end
BB Pure,0.10785520132461568,0.024743710859054024,0.1601123132220783,-0.02709166935637404,-0.05427001010874588,-0.05831053076996362,0.12636983496825158,0.08790100347576295,-0.28149520347485724,643,16.28787878787879,8,7,0.01340466231959071,-0.01203921324540754,1.0464901097091033,32.196969696969695,33,0.03125,-0.013794331763772556,-0.027803881703864636,28.9375,59,2024-01-02 00:00:00,2024-03-01 00:00:00,11,2021-02-22 00:00:00,2021-03-05 00:00:00
BB GARCH,0.11186535268173237,0.02562766973431163,0.15271431962211499,-0.022756322567438123,-0.046884672519887705,-0.05273281959170806,0.13825057116598127,0.12932565638625254,-0.19816384815222077,870,16.00378787878788,8,7,0.012998948684806952,-0.011947332714018969,1.050717406526649,31.439393939393938,29,0.027462121212121212,-0.013791421418938729,-0.026283456727946644,32.642857142857146,59,2024-01-02 00:00:00,2024-03-01 00:00:00,11,2021-02-22 00:00:00,2021-03-05 00:00:00
MACD Pure,0.7128124497210704,0.13702930868924867,0.16996991120290714,0.5861065231081365,0.06120470627339314,0.03915229569115142,0.8833201390815059,0.8190611318586365,-0.16730046556878841,157,26.041666666666668,7,6,0.012027095973206963,-0.010218873305270187,1.194321264233144,48.20075757575758,78,0.07386363636363637,-0.018471565602994698,-0.02699011432668623,17.692307692307693,44,2021-03-15 00:00:00,2021-04-28 00:00:00,0,2021-08-17 00:00:00,2021-08-17 00:00:00
MACD GARCH,1.1620008481451412,0.20201194853817284,0.15392270199687533,1.008269455350079,0.1280111810112594,0.11047663452548373,1.4586158315375348,1.2259924644293607,-0.16477421713370766,145,23.579545454545457,7,8,0.011976973963764426,-0.009290892459932152,1.3486897666696185,43.56060606060606,58,0.054924242424242424,-0.014203006873025854,-0.023229925126586955,21.75862068965517,91,2021-11-17 00:00:00,2022-02-16 00:00:00,0,2021-08-17 00:00:00,2021-08-17 00:00:00
RSI Pure,0.11431482281356709,0.02616641367445105,0.1614366432569403,-0.0182690599226055,-0.04604729767480853,-0.05609567674807181,0.13202469843965617,0.08392591267516734,-0.31177991207229816,183,19.12878787878788,10,5,0.012262470447528952,-0.01178497175653731,1.0456942976000152,35.41666666666667,62,0.058712121212121215,-0.015555747668579664,-0.02864855294236674,16.0,46,2021-03-12 00:00:00,2021-04-27 00:00:00,0,2022-05-04 00:00:00,2022-05-04 00:00:00
RSI GARCH,0.14705325005615144,0.033281868810423054,0.12932943005633746,0.030627794133482215,-0.021877192299836423,-0.030509067672079393,0.1907610519268382,0.15004216927927835,-0.2218167663816859,286,15.056818181818182,7,5,0.011451724989592507,-0.010723745291521872,1.0814884652065246,27.935606060606062,46,0.043560606060606064,-0.012245850174623084,-0.02277038751562788,17.08695652173913,43,2024-11-14 00:00:00,2024-12-27 00:00:00,0,2022-09-12 00:00:00,2022-09-12 00:00:00
RF,0.914496401410368,0.1676386797543583,0.20760295681602645,0.6079660417913173,0.06324483661937363,0.03393601596039586,1.0592192723671634,0.6868260830408732,-0.2440773347048063,189,37.878787878787875,9,8,0.011760233556813634,-0.010290961447821961,1.1601757006348061,70.54924242424242,102,0.09659090909090909,-0.020889159645771163,-0.030414009667580573,19.784313725490197,135,2024-06-26 00:00:00,2024-11-08 00:00:00,0,2021-01-13 00:00:00,2021-01-13 00:00:00
RF-FS,0.5324379916647359,0.10723321051241208,0.17286344462449296,0.4227918392596703,0.032686557186697884,0.00872681219366167,0.6987942266567253,0.6037372770167504,-0.17761568581997123,211,26.704545454545453,9,7,0.011529019536761102,-0.0099448013505845,1.1511370468612092,50.56818181818182,67,0.0634469696969697,-0.018096004314778404,-0.02666270984407352,21.939393939393938,158,2023-04-13 00:00:00,2023-09-18 00:00:00,0,2021-03-24 00:00:00,2021-03-24 00:00:00
XGB,0.08415846849822972,0.019469905844812674,0.20906221971882694,-0.04541703848000869,-0.07588175170905287,-0.09812144078624208,0.11254127160751592,0.051407135191699094,-0.3787393670588466,101,31.060606060606062,8,10,0.012410860128442364,-0.010390515732147547,1.0202518623381953,59.65909090909091,170,0.16098484848484848,-0.02129291608326825,-0.03253855019041205,9.435294117647059,55,2023-04-18 00:00:00,2023-06-12 00:00:00,0,2021-05-25 00:00:00,2021-05-25 00:00:00
XGB-FS,0.16800842191101073,0.037755543647441936,0.1914315175339205,0.04325384342293185,-0.04684750068459087,-0.06804968459216842,0.2390189786902558,0.12377890145705099,-0.3050240647073639,41,29.545454545454547,8,9,0.011762811031340172,-0.009524923975224508,1.044185913399768,55.68181818181818,190,0.17992424242424243,-0.019896991425729187,-0.029083425049987337,7.705263157894737,56,2023-04-18 00:00:00,2023-06-13 00:00:00,0,2021-01-12 00:00:00,2021-01-12 00:00:00
