Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,alpha_annualized_market_benchmark,alpha_annualized_asset_benchmark,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,win_rate,max_win_streak,max_loss_streak,average_gain,average_loss,profit_factor,exposure,trade_count,turnover,VaR_95,CVaR_95,average_holding_days,longest_holding_days,longest_holding_start,longest_holding_end,shortest_holding_days,shortest_holding_start,shortest_holding_end
BB Pure,-0.13581941881530757,-0.034234851126579424,0.1522501612854458,-0.41776505136805114,-0.11586536470907682,-0.11175232934344992,-0.19303820107514788,-0.08948964547314846,-0.3825565622209517,23,20.265151515151516,10,6,0.010835318861366109,-0.012385586745469043,0.9407750862605382,38.06818181818182,25,0.023674242424242424,-0.016987246154488704,-0.027500620654130777,46.75,126,2021-09-20 00:00:00,2022-01-24 00:00:00,2,2021-08-18 00:00:00,2021-08-20 00:00:00
BB GARCH,0.06945108754089357,0.01615242389794269,0.14292468565792113,-0.08923457735281418,-0.0628339755175813,-0.05929298216744516,0.09518508871659488,0.056773613445622824,-0.28450582793031687,23,20.170454545454543,10,6,0.010501486682377766,-0.01172795215568421,1.030947323322234,36.74242424242424,23,0.021780303030303032,-0.01478537128347666,-0.02536278303327558,49.54545454545455,126,2021-09-20 00:00:00,2022-01-24 00:00:00,2,2021-08-18 00:00:00,2021-08-20 00:00:00
MACD Pure,0.1873845920715329,0.04183806902917575,0.13995246576348913,0.08723446210653668,-0.03271555400455928,-0.032060614125647535,0.29862272698139747,0.16494391196317523,-0.25365027742591895,413,27.46212121212121,11,5,0.008871112639338279,-0.008544019924655673,1.0715378572262657,50.378787878787875,81,0.07670454545454546,-0.014622460385128117,-0.023669776546768235,17.775,55,2022-06-24 00:00:00,2022-08-18 00:00:00,0,2021-07-26 00:00:00,2021-07-26 00:00:00
MACD GARCH,0.24542817244201576,0.05377163566160981,0.11375211391103457,0.20742731285641636,-0.0074822667278493515,-0.006055398242269305,0.40286033201370935,0.3171480631059236,-0.16954741938200246,220,17.803030303030305,7,4,0.009298279540929735,-0.008445288228148084,1.1435822261147066,33.04924242424242,44,0.041666666666666664,-0.010482134801149186,-0.019018942454848083,21.772727272727273,55,2022-06-24 00:00:00,2022-08-18 00:00:00,0,2021-07-26 00:00:00,2021-07-26 00:00:00
RSI Pure,0.4463809371032714,0.0920669856702594,0.14437810898991682,0.4109451956490619,0.008468806461234824,0.011140782165609098,0.5252413647518797,0.3570572197949851,-0.2578493881824385,318,20.738636363636363,10,6,0.011000396371312757,-0.010515578733482123,1.1809120104580273,36.64772727272727,53,0.050189393939393936,-0.014031260112962983,-0.025268576131843398,20.423076923076923,83,2024-04-24 00:00:00,2024-07-16 00:00:00,0,2022-05-04 00:00:00,2022-05-04 00:00:00
RSI GARCH,0.21585697291748063,0.047746089764334254,0.11207886606942158,0.15954677282569965,-0.012049047986673722,-0.010968316594738181,0.29067308241868967,0.17090832753450427,-0.2793666666400144,568,13.636363636363635,7,4,0.010382630803283907,-0.010153513125021982,1.1503860299258841,24.147727272727273,35,0.03314393939393939,-0.00844272161100644,-0.019532957203122543,20.88235294117647,81,2024-04-26 00:00:00,2024-07-16 00:00:00,0,2022-09-12 00:00:00,2022-09-12 00:00:00
RF,0.44933008518676676,0.09259794708598701,0.18834367863653684,0.317470051131549,-0.029580286106972165,-0.022899024545309454,0.6268919161692964,0.22484886226257725,-0.41182306263062896,612,44.79166666666667,11,6,0.00935914529791419,-0.009366684264333845,1.0914995296202936,80.9659090909091,106,0.10037878787878787,-0.01985076426759578,-0.028957026235942995,21.88679245283019,152,2020-11-12 00:00:00,2021-04-13 00:00:00,0,2022-03-22 00:00:00,2022-03-22 00:00:00
RF-FS,0.626471182526855,0.12308096443875738,0.18541965343381306,0.470942839206889,0.0010710960608739661,0.006499220922039806,0.8903768132419262,0.3378174597979507,-0.3643416314608853,496,46.496212121212125,11,6,0.009251375239809127,-0.009543558808110591,1.119923878460715,83.99621212121212,62,0.058712121212121215,-0.020513032392471254,-0.02749500816427986,39.70967741935484,216,2020-11-12 00:00:00,2021-06-16 00:00:00,0,2022-09-06 00:00:00,2022-09-06 00:00:00
XGB,0.10392802740234397,0.023875678517868204,0.16856032646913158,-0.03076526815804807,-0.07279333607557992,-0.06901917869206442,0.17146074975513528,0.055894166699761084,-0.427158680907041,694,38.446969696969695,11,6,0.008995898887613275,-0.008460619512408472,1.0278249221118811,70.26515151515152,172,0.16287878787878787,-0.018118350780103022,-0.026715495073341766,11.162790697674419,115,2023-02-17 00:00:00,2023-06-12 00:00:00,0,2020-11-17 00:00:00,2020-11-17 00:00:00
XGB-FS,0.10038135329040387,0.02308972617136673,0.1775309729394391,-0.0335357485137686,-0.08099710025586981,-0.07629770598201524,0.15615500866080703,0.05139861437917103,-0.44922857260377236,67,40.81439393939394,10,6,0.008926851584814342,-0.008911677502428718,1.025496132727738,73.48484848484848,156,0.14772727272727273,-0.019013721312080182,-0.028413789000778317,12.987179487179487,135,2024-01-31 00:00:00,2024-06-14 00:00:00,0,2021-03-29 00:00:00,2021-03-29 00:00:00
